spec_id	specno	ucmp_coll	class	genus	species	subspecies	other_id	type_status	period	epoch	loc_ID_num	loc_name	county_std	state_prov_std	country_std	cont_ocean	pic	access	

PBCL106	BCL106	P	Magnoliopsida	Peraphyllum	ramosissimum						CL95	Harney Co.	Harney County	Oregon	United States	North America		yes
PBCL823	BCL823	P	Gymnospermopsida	Chamaecyparis	nootkatensis						CL97	Regional Parks Botanic Garden	Mt. Emiley	Oregon	United States	North America		yes
PBCL841	BCL841	P	Magnoliopsida	Cercocarpus	montanus						CL96	Klamath Co.	Klamath County	Oregon	United States	North America		yes
PBCL844	BCL844	P	Magnoliopsida	Cercocarpus	montanus						CL96	Klamath Co.	Klamath County	Oregon	United States	North America		yes
PBCL867	BCL867	P	Magnoliopsida	Cercocarpus	ledifolius						CL99	Wheeler Co.	Wheeler County	Oregon	United States	North America		yes
PBCL877	BCL877	P	Magnoliopsida	Holodiscus	discolor						CL98	Wasco Co.	Wasco County	Oregon	United States	North America		yes
V1	1	V	Mammalia						Tertiary	Miocene	-815	JCM 2	Wheeler County	Oregon	United States	North America		yes
V2	2	V	Mammalia						Tertiary	Oligocene	-825	Seigfried's 1	Grant County?	Oregon	United States	North America		yes
V3	3	V	Mammalia						Tertiary	Miocene	-815	JCM 2	Wheeler County	Oregon	United States	North America		yes
V4	4	V	Mammalia	Aepycamelus	altus				Tertiary	Miocene	-815	JCM 2	Wheeler County	Oregon	United States	North America		yes
V5	5	V	Mammalia						Tertiary	Oligocene	-823	JCM 5		Oregon	United States	North America		yes
V7	7	V	Mammalia	Pliohippus					Tertiary	Miocene	V6521	Clarno's Ranch	Grant County?	Oregon	United States	North America		yes
V8	8	V	Mammalia	Merycochoerus	minor				Tertiary		-806	Bridge Creek	Wheeler County	Oregon	United States	North America		yes
V9	9	V	Mammalia				Oreodonta		Tertiary	Oligocene	-818	Turtle Cove 1	Grant County	Oregon	United States	North America		yes
V10	10	V	Mammalia						Tertiary	Miocene	-815	JCM 2	Wheeler County	Oregon	United States	North America		yes
P11	11	P	Magnoliopsida	Umbellularia	orgonensis				Tertiary	Oligocene	3741	Wades Ranch VI	Wheeler County	Oregon	United States	North America		yes
V11	11	V	Mammalia						Tertiary	Oligocene	-823	JCM 5		Oregon	United States	North America		yes
P12	12	P	Magnoliopsida	Umbellularia	orgonensis				Tertiary	Oligocene	3741	Wades Ranch VI	Wheeler County	Oregon	United States	North America		yes
V12	12	V	Mammalia	Diceratherium					Tertiary	Oligocene	-898	Logan Butte 1	Crook County	Oregon	United States	North America		yes
P13	13	P	Magnoliopsida	Umbellularia	orgonensis				Tertiary	Oligocene	3741	Wades Ranch VI	Wheeler County	Oregon	United States	North America		yes
V13	13	V	Mammalia						Tertiary		-808	Sutton Ranch 4	Wheeler County	Oregon	United States	North America		yes
P14	14	P	Magnoliopsida	Umbellularia	orgonensis				Tertiary	Oligocene	3741	Wades Ranch VI	Wheeler County	Oregon	United States	North America		yes
V14	14	V	Mammalia						Tertiary	Oligocene	-834	JCM 10	Wasco County	Oregon	United States	North America		yes
V15	15	V	Mammalia						Tertiary	Oligocene	V76102	John Day Whitneyan General		Oregon	United States	North America		yes
P16	16	P	Filicopsida	Pteris	silvicola			paratype	Tertiary	Oligocene	135	Grays Ranch VIII	Crook County	Oregon	United States	North America		yes
V16	16	V	Reptilia	Stylemys	conspecta				Tertiary	Oligocene	-819	Turtle Cove 2	Grant County	Oregon	United States	North America		yes
P17	17	P	Filicopsida	Pteris	silvicola			holotype	Tertiary	Oligocene	3748	Grays Ranch XI	Crook County	Oregon	United States	North America		yes
V17	17	V	Mammalia	Promerycochoerus	superbus				Tertiary		-802	Sugar Loaf	Wheeler County	Oregon	United States	North America		yes
