MBIO56	Plectranthias longimanus		Chordata	Actinopterygii	Perciformes	Serranidae	Plectranthias	longimanus		Serge Planes, Jeffrey T. Williams, David Lecchini, Romain Causse, Vanessa Messmer, Julien Grignon, Pascal Ung	2006	Matautia - outer slope		1	-149.88300	-17.48240	WGS1984			1	MParis0028	56
MBIO560	Pseudocheilinus evanidus		Chordata	Actinopterygii	Perciformes	Labridae	Pseudocheilinus	evanidus		Romain Causse, Julien Grignon, David Lecchini, Vanessa Messmer, Serge Planes, Jeffrey T. Williams, Rene Galzin	2006	Club Med		1	-149.92500	-17.50270	WGS1984			5	Mp0391	560
MBIO561	Halichoeres trimaculatus		Chordata	Actinopterygii	Perciformes	Labridae	Halichoeres	trimaculatus		Romain Causse, Julien Grignon, David Lecchini, Vanessa Messmer, Serge Planes, Jeffrey T. Williams, Rene Galzin	2006	Club Med		0	-149.92500	-17.50270	WGS1984			5	Mp0394	561
MBIO562	Halichoeres trimaculatus		Chordata	Actinopterygii	Perciformes	Labridae	Halichoeres	trimaculatus		Romain Causse, Julien Grignon, David Lecchini, Vanessa Messmer, Serge Planes, Jeffrey T. Williams, Rene Galzin	2006	Club Med		1	-149.92500	-17.50270	WGS1984			5	Mp0392	562
MBIO563	Halichoeres trimaculatus		Chordata	Actinopterygii	Perciformes	Labridae	Halichoeres	trimaculatus		Romain Causse, Julien Grignon, David Lecchini, Vanessa Messmer, Serge Planes, Jeffrey T. Williams, Rene Galzin	2006	Club Med		0	-149.92500	-17.50270	WGS1984			5	Mp0393	563
MBIO564	Halichoeres trimaculatus		Chordata	Actinopterygii	Perciformes	Labridae	Halichoeres	trimaculatus		Romain Causse, Julien Grignon, David Lecchini, Vanessa Messmer, Serge Planes, Jeffrey T. Williams, Rene Galzin	2006	Club Med		0	-149.92500	-17.50270	WGS1984			5		564
MBIO565	Pomacentrus pavo		Chordata	Actinopterygii	Perciformes	Pomacentridae	Pomacentrus	pavo		Romain Causse, Julien Grignon, David Lecchini, Vanessa Messmer, Serge Planes, Jeffrey T. Williams, Rene Galzin	2006	Club Med		1	-149.92500	-17.50270	WGS1984			5	Mp0397	565
MBIO566	Pomacentrus pavo		Chordata	Actinopterygii	Perciformes	Pomacentridae	Pomacentrus	pavo		Romain Causse, Julien Grignon, David Lecchini, Vanessa Messmer, Serge Planes, Jeffrey T. Williams, Rene Galzin	2006	Club Med		1	-149.92500	-17.50270	WGS1984			5	Mp0395	566
MBIO567	Pomacentrus pavo		Chordata	Actinopterygii	Perciformes	Pomacentridae	Pomacentrus	pavo		Romain Causse, Julien Grignon, David Lecchini, Vanessa Messmer, Serge Planes, Jeffrey T. Williams, Rene Galzin	2006	Club Med		0	-149.92500	-17.50270	WGS1984			5	Mp0396	567
MBIO568	Pomacentrus pavo		Chordata	Actinopterygii	Perciformes	Pomacentridae	Pomacentrus	pavo		Romain Causse, Julien Grignon, David Lecchini, Vanessa Messmer, Serge Planes, Jeffrey T. Williams, Rene Galzin	2006	Club Med		0	-149.92500	-17.50270	WGS1984			5		568
MBIO569	Coris aygula		Chordata	Actinopterygii	Perciformes	Labridae	Coris	aygula		Romain Causse, Julien Grignon, David Lecchini, Vanessa Messmer, Serge Planes, Jeffrey T. Williams, Rene Galzin	2006	Club Med		1	-149.92500	-17.50270	WGS1984			5	Mp0399	569
MBIO5600	Leptoglossus australis		Arthropoda	Insecta	Hemiptera	Coreidae	Leptoglossus	australis		Anne Duplouy	2006	Close to Hunter's bungalow (Gump station-Pihaena)		0	-149.82867	-17.49097				376	WB_1011	5600
MBIO5601	Kallitaxila sinica		Arthropoda	Insecta	Hemiptera	Tropiduchidae	Kallitaxila	sinica		Anne Duplouy	2006	Butterfly breeding office (Gump station-Pihaena)		0	-149.82647	-17.49000				375	WB_1012	5601
MBIO5602	Kallitaxila sinica		Arthropoda	Insecta	Hemiptera	Tropiduchidae	Kallitaxila	sinica		Anne Duplouy	2006	Butterfly breeding office (Gump station-Pihaena)		0	-149.82647	-17.49000				375	WB_1013	5602
MBIO5603	Kallitaxila sinica		Arthropoda	Insecta	Hemiptera	Tropiduchidae	Kallitaxila	sinica		Anne Duplouy	2006	Butterfly breeding office (Gump station-Pihaena)		0	-149.82647	-17.49000				375	WB_1014	5603
