institutioncode	museum_location	scientificname	collector	year	locality	uniquekey	
UCBG     	NURS	Quercus macrocarpa Michx.	Unspecified	1999	Unspecified	UCBGnone2000.0290	
UCBG     	NURS	Quercus muehlenbergii Engelm.	Unspecified	1999	Unspecified	UCBGnone2000.0291	
UCBG     	NURS	Quercus rubra L.	Unspecified	1999	Unspecified	UCBGnone2000.0292	
UCBG     	14	Quercus garryana Douglas ex Hook.	Raiche, R., H. Forbes & N. Smith	2001	Unspecified	UCBGCalifornian-Klamath Reg.2001.0730	
UCBG     	14	Quercus kelloggii Newb.	Raiche, R., H. Forbes & N. Smith	2001	Unspecified	UCBGCalifornian-Klamath Reg.2001.0735	
UCBG     	NURS	Quercus imbricaria Michx.	Unspecified	Unspecified	Unspecified	UCBGnone2002.0167	
UCBG     	804	Quercus suber L.	Unspecified	Unspecified	Unspecified	UCBGCrops of the World-Asian45.0251	
UCBG     	12A	Quercus garryana Douglas ex Hook.	See, G.E. & H.M. Wheeler	Unspecified	Unspecified	UCBGCalifornian-Chaparral57.0849	
UCBG     	23B	Quercus wislizenii var. frutescens	Baker, H.G.	Unspecified	Unspecified	UCBGCalifornian-Rocky Chapar.57.0978	
UCBG     	12B	Quercus durata Jeps.	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Chaparral60.1328	
UCBG     	173	Quercus rugosa Nee	Kimnach, M.	Unspecified	Unspecified	UCBGMexican65.1570	
UCBG     	310	Quercus borealis	Cody, W.J. & W.E. Kemp	1965	Unspecified	UCBGEastern North America66.0407	
UCBG     	5B	Quercus turbinella	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Desert67.1011	
UCBG     	18B	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian71.0163	
UCBG     	22B	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Berkeley Hill71.0163	
UCBG     	22C	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Berkeley Hill71.0163	
UCBG     	24	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Chaparral71.0163	
UCBG     	16	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Moist Canyon71.0163	
UCBG     	21B	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Montane Conf.71.0163	
UCBG     	22A	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Shaded Canyon71.0163	
UCBG     	30	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Yellow Pine71.0163	
UCBG     	10	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornian-Yellow Pine W71.0163	
UCBG     	231	Quercus myrsinaefolia	Unspecified	Unspecified	Unspecified	UCBGAsian73.0279	
UCBG     	907	Quercus myrsinaefolia	Unspecified	Unspecified	Unspecified	UCBGMather Redwood Grove73.0279	
UCBG     	172	Quercus rugosa Nee	Boutin, F.C.	1971	Unspecified	UCBGMexican73.0392	
UCBG     	7B	Quercus durata Jeps.	Mooney, H.A.	1968	Unspecified	UCBGCalifornian-Serpentine73.0623	
UCBG     	11	Quercus lobata	Mooney, H.A.	1968	Unspecified	UCBGCalifornian-Blue Oak Sav.73.0625	
UCBG     	32	Quercus lobata	Mooney, H.A.	1968	Unspecified	UCBGCalifornian-Oak Woodland73.0625	
UCBG     	309	Quercus borealis	Searcy, K.	1973	Unspecified	UCBGEastern North America73.0638	
